"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USS0020H06S","CEDAR PASS, CA US","2020-01-01","33","37","27","27"
"USS0020H06S","CEDAR PASS, CA US","2020-01-02","28","33","26","30"
"USS0020H06S","CEDAR PASS, CA US","2020-01-03","40","51","30","35"
"USS0020H06S","CEDAR PASS, CA US","2020-01-04","29","35","25","26"
"USS0020H06S","CEDAR PASS, CA US","2020-01-05","25","27","22","24"
"USS0020H06S","CEDAR PASS, CA US","2020-01-06","29","38","22","33"
"USS0020H06S","CEDAR PASS, CA US","2020-01-07","34","42","26","26"
"USS0020H06S","CEDAR PASS, CA US","2020-01-08","25","30","24","25"
"USS0020H06S","CEDAR PASS, CA US","2020-01-09","22","25","16","17"
"USS0020H06S","CEDAR PASS, CA US","2020-01-10","24","33","16","26"
"USS0020H06S","CEDAR PASS, CA US","2020-01-11","23","26","18","18"
"USS0020H06S","CEDAR PASS, CA US","2020-01-12","22","24","18","24"
"USS0020H06S","CEDAR PASS, CA US","2020-01-13","23","26","21","25"
"USS0020H06S","CEDAR PASS, CA US","2020-01-14","21","25","18","20"
"USS0020H06S","CEDAR PASS, CA US","2020-01-15","22","27","15","24"
"USS0020H06S","CEDAR PASS, CA US","2020-01-16","24","28","20","20"
"USS0020H06S","CEDAR PASS, CA US","2020-01-17","20","23","19","22"
"USS0020H06S","CEDAR PASS, CA US","2020-01-18","29","35","21","32"
"USS0020H06S","CEDAR PASS, CA US","2020-01-19","35","38","31","35"
"USS0020H06S","CEDAR PASS, CA US","2020-01-20","37","41","31","31"
"USS0020H06S","CEDAR PASS, CA US","2020-01-21","30","33","28","29"
"USS0020H06S","CEDAR PASS, CA US","2020-01-22","31","34","28","34"
"USS0020H06S","CEDAR PASS, CA US","2020-01-23","35","38","32","35"
"USS0020H06S","CEDAR PASS, CA US","2020-01-24","32","36","28","30"
"USS0020H06S","CEDAR PASS, CA US","2020-01-25","35","39","29","37"
"USS0020H06S","CEDAR PASS, CA US","2020-01-26","33","37","30","30"
"USS0020H06S","CEDAR PASS, CA US","2020-01-27","31","33","29","31"
"USS0020H06S","CEDAR PASS, CA US","2020-01-28","30","32","28","28"
"USS0020H06S","CEDAR PASS, CA US","2020-01-29","30","39","22","34"
"USS0020H06S","CEDAR PASS, CA US","2020-01-30","34","41","31","31"
"USS0020H06S","CEDAR PASS, CA US","2020-01-31","40","50","31","42"
"USS0020H06S","CEDAR PASS, CA US","2020-02-01","43","48","34","34"
"USS0020H06S","CEDAR PASS, CA US","2020-02-02","22","35","14","14"
"USS0020H06S","CEDAR PASS, CA US","2020-02-03","14","19","5","14"
"USS0020H06S","CEDAR PASS, CA US","2020-02-04","18","24","10","22"
"USS0020H06S","CEDAR PASS, CA US","2020-02-05","27","31","21","31"
"USS0020H06S","CEDAR PASS, CA US","2020-02-06","32","36","29","29"
"USS0020H06S","CEDAR PASS, CA US","2020-02-07","35","43","28","33"
"USS0020H06S","CEDAR PASS, CA US","2020-02-08","26","34","19","19"
"USS0020H06S","CEDAR PASS, CA US","2020-02-09","23","30","19","30"
"USS0020H06S","CEDAR PASS, CA US","2020-02-10","33","41","27","32"
"USS0020H06S","CEDAR PASS, CA US","2020-02-11","34","42","29","31"
"USS0020H06S","CEDAR PASS, CA US","2020-02-12","33","42","27","34"
"USS0020H06S","CEDAR PASS, CA US","2020-02-13","37","46","30","30"
"USS0020H06S","CEDAR PASS, CA US","2020-02-14","31","39","27","30"
"USS0020H06S","CEDAR PASS, CA US","2020-02-15","30","33","29","30"
"USS0020H06S","CEDAR PASS, CA US","2020-02-16","30","36","24","24"
"USS0020H06S","CEDAR PASS, CA US","2020-02-17","22","29","16","19"
"USS0020H06S","CEDAR PASS, CA US","2020-02-18","24","32","18","24"
"USS0020H06S","CEDAR PASS, CA US","2020-02-19","28","35","22","28"
"USS0020H06S","CEDAR PASS, CA US","2020-02-20","34","43","28","35"
"USS0020H06S","CEDAR PASS, CA US","2020-02-21","39","47","33","35"
"USS0020H06S","CEDAR PASS, CA US","2020-02-22","39","47","33","35"
"USS0020H06S","CEDAR PASS, CA US","2020-02-23","35","44","26","26"
"USS0020H06S","CEDAR PASS, CA US","2020-02-24","30","40","21","30"
"USS0020H06S","CEDAR PASS, CA US","2020-02-25","38","49","29","37"
"USS0020H06S","CEDAR PASS, CA US","2020-02-26","40","48","35","36"
"USS0020H06S","CEDAR PASS, CA US","2020-02-27","42","50","35","42"
"USS0020H06S","CEDAR PASS, CA US","2020-02-28","41","50","33","33"
"USS0020H06S","CEDAR PASS, CA US","2020-02-29","27","34","21","21"
"USS0020H06S","CEDAR PASS, CA US","2020-03-01","22","29","16","22"
"USS0020H06S","CEDAR PASS, CA US","2020-03-02","33","42","21","35"
"USS0020H06S","CEDAR PASS, CA US","2020-03-03","39","49","33","34"
"USS0020H06S","CEDAR PASS, CA US","2020-03-04","41","51","33","40"
"USS0020H06S","CEDAR PASS, CA US","2020-03-05","45","55","38","41"
"USS0020H06S","CEDAR PASS, CA US","2020-03-06","41","49","36","36"
"USS0020H06S","CEDAR PASS, CA US","2020-03-07","30","36","26","26"
"USS0020H06S","CEDAR PASS, CA US","2020-03-08","29","34","24","28"
"USS0020H06S","CEDAR PASS, CA US","2020-03-09","31","39","27","31"
"USS0020H06S","CEDAR PASS, CA US","2020-03-10","38","49","30","38"
"USS0020H06S","CEDAR PASS, CA US","2020-03-11","42","51","36","39"
"USS0020H06S","CEDAR PASS, CA US","2020-03-12","40","47","34","36"
"USS0020H06S","CEDAR PASS, CA US","2020-03-13","38","49","31","31"
"USS0020H06S","CEDAR PASS, CA US","2020-03-14","26","31","22","22"
"USS0020H06S","CEDAR PASS, CA US","2020-03-15","23","29","20","20"
"USS0020H06S","CEDAR PASS, CA US","2020-03-16","29","36","20","31"
"USS0020H06S","CEDAR PASS, CA US","2020-03-17","26","31","22","22"
"USS0020H06S","CEDAR PASS, CA US","2020-03-18","24","31","21","24"
"USS0020H06S","CEDAR PASS, CA US","2020-03-19","28","38","20","25"
"USS0020H06S","CEDAR PASS, CA US","2020-03-20","31","42","24","34"
"USS0020H06S","CEDAR PASS, CA US","2020-03-21","35","45","30","31"
"USS0020H06S","CEDAR PASS, CA US","2020-03-22","36","47","28","32"
"USS0020H06S","CEDAR PASS, CA US","2020-03-23","32","41","28","28"
"USS0020H06S","CEDAR PASS, CA US","2020-03-24","26","32","21","22"
"USS0020H06S","CEDAR PASS, CA US","2020-03-25","21","29","17","18"
"USS0020H06S","CEDAR PASS, CA US","2020-03-26","22","32","16","19"
"USS0020H06S","CEDAR PASS, CA US","2020-03-27","25","33","16","26"
"USS0020H06S","CEDAR PASS, CA US","2020-03-28","30","37","26","28"
"USS0020H06S","CEDAR PASS, CA US","2020-03-29","30","38","27","30"
"USS0020H06S","CEDAR PASS, CA US","2020-03-30","32","35","29","32"
"USS0020H06S","CEDAR PASS, CA US","2020-03-31","32","37","25","25"
"USS0020H06S","CEDAR PASS, CA US","2020-04-01","23","31","18","18"
"USS0020H06S","CEDAR PASS, CA US","2020-04-02","25","37","16","22"
"USS0020H06S","CEDAR PASS, CA US","2020-04-03","27","38","19","26"
"USS0020H06S","CEDAR PASS, CA US","2020-04-04","28","32","25","27"
"USS0020H06S","CEDAR PASS, CA US","2020-04-05","30","36","25","26"
"USS0020H06S","CEDAR PASS, CA US","2020-04-06","31","40","23","33"
"USS0020H06S","CEDAR PASS, CA US","2020-04-07","40","49","31","41"
"USS0020H06S","CEDAR PASS, CA US","2020-04-08","45","55","39","43"
"USS0020H06S","CEDAR PASS, CA US","2020-04-09","48","57","40","45"
"USS0020H06S","CEDAR PASS, CA US","2020-04-10","46","56","34","42"
"USS0020H06S","CEDAR PASS, CA US","2020-04-11","41","51","34","35"
"USS0020H06S","CEDAR PASS, CA US","2020-04-12","36","45","30","31"
"USS0020H06S","CEDAR PASS, CA US","2020-04-13","33","42","25","33"
"USS0020H06S","CEDAR PASS, CA US","2020-04-14","39","50","29","36"
"USS0020H06S","CEDAR PASS, CA US","2020-04-15","41","51","31","33"
"USS0020H06S","CEDAR PASS, CA US","2020-04-16","36","46","28","33"
"USS0020H06S","CEDAR PASS, CA US","2020-04-17","40","52","30","37"
"USS0020H06S","CEDAR PASS, CA US","2020-04-18","40","49","35","36"
"USS0020H06S","CEDAR PASS, CA US","2020-04-19","36","44","32","36"
"USS0020H06S","CEDAR PASS, CA US","2020-04-20","42","53","34","37"
"USS0020H06S","CEDAR PASS, CA US","2020-04-21","43","56","34","38"
"USS0020H06S","CEDAR PASS, CA US","2020-04-22","42","52","34","41"
"USS0020H06S","CEDAR PASS, CA US","2020-04-23","41","50","35","36"
"USS0020H06S","CEDAR PASS, CA US","2020-04-24","44","54","36","43"
"USS0020H06S","CEDAR PASS, CA US","2020-04-25","48","58","42","43"
"USS0020H06S","CEDAR PASS, CA US","2020-04-26","48","60","39","42"
"USS0020H06S","CEDAR PASS, CA US","2020-04-27","45","53","40","43"
"USS0020H06S","CEDAR PASS, CA US","2020-04-28","54","66","42","54"
"USS0020H06S","CEDAR PASS, CA US","2020-04-29","54","63","47","47"
"USS0020H06S","CEDAR PASS, CA US","2020-04-30","45","52","39","39"
"USS0020H06S","CEDAR PASS, CA US","2020-05-01","45","55","37","41"
"USS0020H06S","CEDAR PASS, CA US","2020-05-02","44","56","31","31"
"USS0020H06S","CEDAR PASS, CA US","2020-05-03","35","45","26","34"
"USS0020H06S","CEDAR PASS, CA US","2020-05-04","44","56","33","42"
"USS0020H06S","CEDAR PASS, CA US","2020-05-05","49","60","39","42"
"USS0020H06S","CEDAR PASS, CA US","2020-05-06","42","52","34","39"
"USS0020H06S","CEDAR PASS, CA US","2020-05-07","49","59","39","50"
"USS0020H06S","CEDAR PASS, CA US","2020-05-08","56","69","48","55"
"USS0020H06S","CEDAR PASS, CA US","2020-05-09","59","70","52","53"
"USS0020H06S","CEDAR PASS, CA US","2020-05-10","55","67","46","47"
"USS0020H06S","CEDAR PASS, CA US","2020-05-11","46","58","35","35"
"USS0020H06S","CEDAR PASS, CA US","2020-05-12","36","43","33","33"
"USS0020H06S","CEDAR PASS, CA US","2020-05-13","34","40","32","34"
"USS0020H06S","CEDAR PASS, CA US","2020-05-14","36","41","32","35"
"USS0020H06S","CEDAR PASS, CA US","2020-05-15","42","51","34","41"
"USS0020H06S","CEDAR PASS, CA US","2020-05-16","47","58","35","35"
"USS0020H06S","CEDAR PASS, CA US","2020-05-17","42","49","35","39"
"USS0020H06S","CEDAR PASS, CA US","2020-05-18","36","42","33","33"
"USS0020H06S","CEDAR PASS, CA US","2020-05-19","35","42","31","34"
"USS0020H06S","CEDAR PASS, CA US","2020-05-20","37","45","33","35"
"USS0020H06S","CEDAR PASS, CA US","2020-05-21","39","47","34","34"
"USS0020H06S","CEDAR PASS, CA US","2020-05-22","36","43","28","36"
"USS0020H06S","CEDAR PASS, CA US","2020-05-23","44","54","32","43"
"USS0020H06S","CEDAR PASS, CA US","2020-05-24","52","61","42","52"
"USS0020H06S","CEDAR PASS, CA US","2020-05-25","58","69","47","53"
"USS0020H06S","CEDAR PASS, CA US","2020-05-26","58","69","49","55"
"USS0020H06S","CEDAR PASS, CA US","2020-05-27","62","73","51","58"
"USS0020H06S","CEDAR PASS, CA US","2020-05-28","65","78","56","59"
"USS0020H06S","CEDAR PASS, CA US","2020-05-29","66","78","55","61"
"USS0020H06S","CEDAR PASS, CA US","2020-05-30","50","63","41","41"
"USS0020H06S","CEDAR PASS, CA US","2020-05-31","48","60","40","45"
"USS0020H06S","CEDAR PASS, CA US","2020-06-01","49","57","44","49"
"USS0020H06S","CEDAR PASS, CA US","2020-06-02","59","70","49","53"
"USS0020H06S","CEDAR PASS, CA US","2020-06-03","61","72","52","53"
"USS0020H06S","CEDAR PASS, CA US","2020-06-04","59","72","47","54"
"USS0020H06S","CEDAR PASS, CA US","2020-06-05","58","73","45","45"
"USS0020H06S","CEDAR PASS, CA US","2020-06-06","40","52","29","29"
"USS0020H06S","CEDAR PASS, CA US","2020-06-07","30","33","27","31"
"USS0020H06S","CEDAR PASS, CA US","2020-06-08","38","48","29","38"
"USS0020H06S","CEDAR PASS, CA US","2020-06-09","51","63","38","49"
"USS0020H06S","CEDAR PASS, CA US","2020-06-10","57","69","47","52"
"USS0020H06S","CEDAR PASS, CA US","2020-06-11","58","70","49","52"
"USS0020H06S","CEDAR PASS, CA US","2020-06-12","52","63","41","41"
"USS0020H06S","CEDAR PASS, CA US","2020-06-13","39","42","36","39"
"USS0020H06S","CEDAR PASS, CA US","2020-06-14","46","56","36","46"
"USS0020H06S","CEDAR PASS, CA US","2020-06-15","45","50","39","39"
"USS0020H06S","CEDAR PASS, CA US","2020-06-16","38","47","34","34"
"USS0020H06S","CEDAR PASS, CA US","2020-06-17","45","55","32","48"
"USS0020H06S","CEDAR PASS, CA US","2020-06-18","54","64","46","54"
"USS0020H06S","CEDAR PASS, CA US","2020-06-19","64","68","56","56"
"USS0020H06S","CEDAR PASS, CA US","2020-06-20","62","74","53","54"
"USS0020H06S","CEDAR PASS, CA US","2020-06-21","60","71","50","60"
"USS0020H06S","CEDAR PASS, CA US","2020-06-22","66","76","57","66"
"USS0020H06S","CEDAR PASS, CA US","2020-06-23","71","82","62","65"
"USS0020H06S","CEDAR PASS, CA US","2020-06-24","65","77","56","60"
"USS0020H06S","CEDAR PASS, CA US","2020-06-25","67","76","55","67"
"USS0020H06S","CEDAR PASS, CA US","2020-06-26","70","80","60","61"
"USS0020H06S","CEDAR PASS, CA US","2020-06-27","63","73","50","50"
"USS0020H06S","CEDAR PASS, CA US","2020-06-28","45","52","37","37"
"USS0020H06S","CEDAR PASS, CA US","2020-06-29","46","59","37","44"
"USS0020H06S","CEDAR PASS, CA US","2020-06-30","51","63","38","44"
"USS0020H06S","CEDAR PASS, CA US","2020-07-01","52","65","40","45"
"USS0020H06S","CEDAR PASS, CA US","2020-07-02","56","69","43","53"
"USS0020H06S","CEDAR PASS, CA US","2020-07-03","58","71","48","51"
"USS0020H06S","CEDAR PASS, CA US","2020-07-04","58","71","49","52"
"USS0020H06S","CEDAR PASS, CA US","2020-07-05","60","72","49","51"
"USS0020H06S","CEDAR PASS, CA US","2020-07-06","60","74","48","48"
"USS0020H06S","CEDAR PASS, CA US","2020-07-07","53","66","40","48"
"USS0020H06S","CEDAR PASS, CA US","2020-07-08","58","71","45","52"
"USS0020H06S","CEDAR PASS, CA US","2020-07-09","60","73","49","53"
"USS0020H06S","CEDAR PASS, CA US","2020-07-10","63","77","51","60"
"USS0020H06S","CEDAR PASS, CA US","2020-07-11","65","79","55","57"
"USS0020H06S","CEDAR PASS, CA US","2020-07-12","65","77","56","57"
"USS0020H06S","CEDAR PASS, CA US","2020-07-13","64","76","54","61"
"USS0020H06S","CEDAR PASS, CA US","2020-07-14","65","74","52","63"
"USS0020H06S","CEDAR PASS, CA US","2020-07-15","68","76","59","67"
"USS0020H06S","CEDAR PASS, CA US","2020-07-16","71","82","59","60"
"USS0020H06S","CEDAR PASS, CA US","2020-07-17","67","80","57","59"
"USS0020H06S","CEDAR PASS, CA US","2020-07-18","68","81","56","64"
"USS0020H06S","CEDAR PASS, CA US","2020-07-19","71","83","61","62"
"USS0020H06S","CEDAR PASS, CA US","2020-07-20","71","83","60","63"
"USS0020H06S","CEDAR PASS, CA US","2020-07-21","70","83","60","66"
"USS0020H06S","CEDAR PASS, CA US","2020-07-22","64","77","54","57"
"USS0020H06S","CEDAR PASS, CA US","2020-07-23","61","72","51","57"
"USS0020H06S","CEDAR PASS, CA US","2020-07-24","63","75","53","57"
"USS0020H06S","CEDAR PASS, CA US","2020-07-25","65","77","55","65"
"USS0020H06S","CEDAR PASS, CA US","2020-07-26","69","82","62","62"
"USS0020H06S","CEDAR PASS, CA US","2020-07-27","66","80","57","58"
"USS0020H06S","CEDAR PASS, CA US","2020-07-28","66","78","55","62"
"USS0020H06S","CEDAR PASS, CA US","2020-07-29","68","83","56","64"
"USS0020H06S","CEDAR PASS, CA US","2020-07-30","69","83","58","58"
"USS0020H06S","CEDAR PASS, CA US","2020-07-31","66","81","54","58"
"USS0020H06S","CEDAR PASS, CA US","2020-08-01","66","80","55","60"
"USS0020H06S","CEDAR PASS, CA US","2020-08-02","66","80","56","56"
"USS0020H06S","CEDAR PASS, CA US","2020-08-03","64","76","53","60"
"USS0020H06S","CEDAR PASS, CA US","2020-08-04","67","81","57","59"
"USS0020H06S","CEDAR PASS, CA US","2020-08-05","63","76","53","53"
"USS0020H06S","CEDAR PASS, CA US","2020-08-06","58","69","48","52"
"USS0020H06S","CEDAR PASS, CA US","2020-08-07","60","72","47","61"
"USS0020H06S","CEDAR PASS, CA US","2020-08-08","66","78","55","60"
"USS0020H06S","CEDAR PASS, CA US","2020-08-09","67","77","56","62"
"USS0020H06S","CEDAR PASS, CA US","2020-08-10","67","79","57","63"
"USS0020H06S","CEDAR PASS, CA US","2020-08-11","65","79","56","56"
"USS0020H06S","CEDAR PASS, CA US","2020-08-12","62","74","53","55"
"USS0020H06S","CEDAR PASS, CA US","2020-08-13","64","77","53","59"
"USS0020H06S","CEDAR PASS, CA US","2020-08-14","68","81","56","66"
"USS0020H06S","CEDAR PASS, CA US","2020-08-15","73","87","63","69"
"USS0020H06S","CEDAR PASS, CA US","2020-08-16","69","82","62","64"
"USS0020H06S","CEDAR PASS, CA US","2020-08-17","65","76","55","62"
"USS0020H06S","CEDAR PASS, CA US","2020-08-18","70","81","61","65"
"USS0020H06S","CEDAR PASS, CA US","2020-08-19","64","71","57","57"
"USS0020H06S","CEDAR PASS, CA US","2020-08-20","63","75","54","59"
"USS0020H06S","CEDAR PASS, CA US","2020-08-21","63","76","55","57"
"USS0020H06S","CEDAR PASS, CA US","2020-08-22","65","78","54","62"
"USS0020H06S","CEDAR PASS, CA US","2020-08-23","67","80","57","63"
"USS0020H06S","CEDAR PASS, CA US","2020-08-24","64","76","56","61"
"USS0020H06S","CEDAR PASS, CA US","2020-08-25","61","74","54","57"
"USS0020H06S","CEDAR PASS, CA US","2020-08-26","62","73","54","56"
"USS0020H06S","CEDAR PASS, CA US","2020-08-27","63","74","54","64"
"USS0020H06S","CEDAR PASS, CA US","2020-08-28","68","77","61","62"
"USS0020H06S","CEDAR PASS, CA US","2020-08-29","67","80","55","55"
"USS0020H06S","CEDAR PASS, CA US","2020-08-30","59","68","49","57"
"USS0020H06S","CEDAR PASS, CA US","2020-08-31","59","70","50","54"
"USS0020H06S","CEDAR PASS, CA US","2020-09-01","63","75","50","67"
"USS0020H06S","CEDAR PASS, CA US","2020-09-02","72","82","61","70"
"USS0020H06S","CEDAR PASS, CA US","2020-09-03","75","85","68","68"
"USS0020H06S","CEDAR PASS, CA US","2020-09-04","75","90","66","67"
"USS0020H06S","CEDAR PASS, CA US","2020-09-05","73","85","65","66"
"USS0020H06S","CEDAR PASS, CA US","2020-09-06","72","82","66","66"
"USS0020H06S","CEDAR PASS, CA US","2020-09-07","66","80","47","47"
"USS0020H06S","CEDAR PASS, CA US","2020-09-08","49","61","38","50"
"USS0020H06S","CEDAR PASS, CA US","2020-09-09","58","68","49","57"
"USS0020H06S","CEDAR PASS, CA US","2020-09-10","63","76","54","56"
"USS0020H06S","CEDAR PASS, CA US","2020-09-11","62","76","52","57"
"USS0020H06S","CEDAR PASS, CA US","2020-09-12","67","79","56","58"
"USS0020H06S","CEDAR PASS, CA US","2020-09-13","66","79","58","59"
"USS0020H06S","CEDAR PASS, CA US","2020-09-14","64","77","55","56"
"USS0020H06S","CEDAR PASS, CA US","2020-09-15","63","76","55","57"
"USS0020H06S","CEDAR PASS, CA US","2020-09-16","62","74","55","56"
"USS0020H06S","CEDAR PASS, CA US","2020-09-17","61","74","53","53"
"USS0020H06S","CEDAR PASS, CA US","2020-09-18","53","63","46","47"
"USS0020H06S","CEDAR PASS, CA US","2020-09-19","50","60","43","47"
"USS0020H06S","CEDAR PASS, CA US","2020-09-20","57","69","45","56"
"USS0020H06S","CEDAR PASS, CA US","2020-09-21","58","70","51","51"
"USS0020H06S","CEDAR PASS, CA US","2020-09-22","56","69","48","51"
"USS0020H06S","CEDAR PASS, CA US","2020-09-23","57","71","49","50"
"USS0020H06S","CEDAR PASS, CA US","2020-09-24","53","63","45","46"
"USS0020H06S","CEDAR PASS, CA US","2020-09-25","53","65","45","50"
"USS0020H06S","CEDAR PASS, CA US","2020-09-26","49","57","43","45"
"USS0020H06S","CEDAR PASS, CA US","2020-09-27","52","60","43","52"
"USS0020H06S","CEDAR PASS, CA US","2020-09-28","57","68","49","58"
"USS0020H06S","CEDAR PASS, CA US","2020-09-29","63","75","57","59"
"USS0020H06S","CEDAR PASS, CA US","2020-09-30","64","73","56","64"
"USS0020H06S","CEDAR PASS, CA US","2020-10-01","67","78","60","62"
"USS0020H06S","CEDAR PASS, CA US","2020-10-02","67","77","60","61"
"USS0020H06S","CEDAR PASS, CA US","2020-10-03","65","76","59","60"
"USS0020H06S","CEDAR PASS, CA US","2020-10-04","60","69","53","53"
"USS0020H06S","CEDAR PASS, CA US","2020-10-05","60","70","51","60"
"USS0020H06S","CEDAR PASS, CA US","2020-10-06","62","73","54","56"
"USS0020H06S","CEDAR PASS, CA US","2020-10-07","59","70","52","54"
"USS0020H06S","CEDAR PASS, CA US","2020-10-08","55","62","49","49"
"USS0020H06S","CEDAR PASS, CA US","2020-10-09","54","67","45","45"
"USS0020H06S","CEDAR PASS, CA US","2020-10-10","43","47","34","34"
"USS0020H06S","CEDAR PASS, CA US","2020-10-11","40","51","32","41"
"USS0020H06S","CEDAR PASS, CA US","2020-10-12","47","58","39","46"
"USS0020H06S","CEDAR PASS, CA US","2020-10-13","52","63","45","47"
"USS0020H06S","CEDAR PASS, CA US","2020-10-14","47","57","42","46"
"USS0020H06S","CEDAR PASS, CA US","2020-10-15","51","60","42","54"
"USS0020H06S","CEDAR PASS, CA US","2020-10-16","56","65","49","52"
"USS0020H06S","CEDAR PASS, CA US","2020-10-17","53","62","44","48"
"USS0020H06S","CEDAR PASS, CA US","2020-10-18","51","61","43","47"
"USS0020H06S","CEDAR PASS, CA US","2020-10-19","51","61","44","51"
"USS0020H06S","CEDAR PASS, CA US","2020-10-20","52","61","43","44"
"USS0020H06S","CEDAR PASS, CA US","2020-10-21","45","55","34","34"
"USS0020H06S","CEDAR PASS, CA US","2020-10-22","34","40","29","34"
"USS0020H06S","CEDAR PASS, CA US","2020-10-23","43","54","33","42"
"USS0020H06S","CEDAR PASS, CA US","2020-10-24","43","53","31","32"
"USS0020H06S","CEDAR PASS, CA US","2020-10-25","25","32","19","24"
"USS0020H06S","CEDAR PASS, CA US","2020-10-26","37","45","24","41"
"USS0020H06S","CEDAR PASS, CA US","2020-10-27","49","58","38","47"
"USS0020H06S","CEDAR PASS, CA US","2020-10-28","53","62","46","50"
"USS0020H06S","CEDAR PASS, CA US","2020-10-29","56","66","49","53"
"USS0020H06S","CEDAR PASS, CA US","2020-10-30","52","61","42","42"
"USS0020H06S","CEDAR PASS, CA US","2020-10-31","51","60","40","52"
"USS0020H06S","CEDAR PASS, CA US","2020-11-01","57","67","49","54"
"USS0020H06S","CEDAR PASS, CA US","2020-11-02","57","67","51","51"
"USS0020H06S","CEDAR PASS, CA US","2020-11-03","53","62","46","47"
"USS0020H06S","CEDAR PASS, CA US","2020-11-04","51","59","46","50"
"USS0020H06S","CEDAR PASS, CA US","2020-11-05","54","64","47","47"
"USS0020H06S","CEDAR PASS, CA US","2020-11-06","33","47","27","27"
"USS0020H06S","CEDAR PASS, CA US","2020-11-07","27","30","23","23"
"USS0020H06S","CEDAR PASS, CA US","2020-11-08","20","26","17","17"
"USS0020H06S","CEDAR PASS, CA US","2020-11-09","19","28","15","23"
"USS0020H06S","CEDAR PASS, CA US","2020-11-10","29","38","23","28"
"USS0020H06S","CEDAR PASS, CA US","2020-11-11","27","34","22","23"
"USS0020H06S","CEDAR PASS, CA US","2020-11-12","31","40","23","31"
"USS0020H06S","CEDAR PASS, CA US","2020-11-13","30","32","26","26"
"USS0020H06S","CEDAR PASS, CA US","2020-11-14","27","33","24","33"
"USS0020H06S","CEDAR PASS, CA US","2020-11-15","37","40","33","39"
"USS0020H06S","CEDAR PASS, CA US","2020-11-16","46","54","37","51"
"USS0020H06S","CEDAR PASS, CA US","2020-11-17","42","51","33","35"
"USS0020H06S","CEDAR PASS, CA US","2020-11-18","33","36","29","29"
"USS0020H06S","CEDAR PASS, CA US","2020-11-19","28","31","25","27"
"USS0020H06S","CEDAR PASS, CA US","2020-11-20","29","34","24","26"
"USS0020H06S","CEDAR PASS, CA US","2020-11-21","34","43","26","35"
"USS0020H06S","CEDAR PASS, CA US","2020-11-22","36","43","30","31"
"USS0020H06S","CEDAR PASS, CA US","2020-11-23","30","33","27","30"
"USS0020H06S","CEDAR PASS, CA US","2020-11-24","35","47","26","31"
"USS0020H06S","CEDAR PASS, CA US","2020-11-25","26","32","24","25"
"USS0020H06S","CEDAR PASS, CA US","2020-11-26","27","33","22","31"
"USS0020H06S","CEDAR PASS, CA US","2020-11-27","41","51","30","40"
"USS0020H06S","CEDAR PASS, CA US","2020-11-28","39","46","32","39"
"USS0020H06S","CEDAR PASS, CA US","2020-11-29","40","51","37","38"
"USS0020H06S","CEDAR PASS, CA US","2020-11-30","35","41","27","27"
"USS0020H06S","CEDAR PASS, CA US","2020-12-01","36","44","27","40"
"USS0020H06S","CEDAR PASS, CA US","2020-12-02","43","47","39","42"
"USS0020H06S","CEDAR PASS, CA US","2020-12-03","41","48","36","37"
"USS0020H06S","CEDAR PASS, CA US","2020-12-04","40","47","35","39"
"USS0020H06S","CEDAR PASS, CA US","2020-12-05","41","50","36","36"
"USS0020H06S","CEDAR PASS, CA US","2020-12-06","32","38","28","29"
"USS0020H06S","CEDAR PASS, CA US","2020-12-07","41","49","29","44"
"USS0020H06S","CEDAR PASS, CA US","2020-12-08","50","61","43","45"
"USS0020H06S","CEDAR PASS, CA US","2020-12-09","37","46","32","33"
"USS0020H06S","CEDAR PASS, CA US","2020-12-10","32","44","22","22"
"USS0020H06S","CEDAR PASS, CA US","2020-12-11","24","29","18","25"
"USS0020H06S","CEDAR PASS, CA US","2020-12-12","25","32","20","30"
"USS0020H06S","CEDAR PASS, CA US","2020-12-13","31","35","27","27"
"USS0020H06S","CEDAR PASS, CA US","2020-12-14","26","30","22","24"
"USS0020H06S","CEDAR PASS, CA US","2020-12-15","29","34","24","31"
"USS0020H06S","CEDAR PASS, CA US","2020-12-16","33","37","29","34"
"USS0020H06S","CEDAR PASS, CA US","2020-12-17","28","34","23","23"
"USS0020H06S","CEDAR PASS, CA US","2020-12-18","28","36","21","30"
"USS0020H06S","CEDAR PASS, CA US","2020-12-19","32","37","27","33"
"USS0020H06S","CEDAR PASS, CA US","2020-12-20","38","43","33","38"
"USS0020H06S","CEDAR PASS, CA US","2020-12-21","40","47","28","28"
"USS0020H06S","CEDAR PASS, CA US","2020-12-22","21","28","17","23"
"USS0020H06S","CEDAR PASS, CA US","2020-12-23","30","39","17","36"
"USS0020H06S","CEDAR PASS, CA US","2020-12-24","38","45","33","34"
"USS0020H06S","CEDAR PASS, CA US","2020-12-25","33","36","30","30"
"USS0020H06S","CEDAR PASS, CA US","2020-12-26","27","31","20","20"
"USS0020H06S","CEDAR PASS, CA US","2020-12-27","24","27","19","23"
"USS0020H06S","CEDAR PASS, CA US","2020-12-28","24","30","20","28"
"USS0020H06S","CEDAR PASS, CA US","2020-12-29","30","36","23","29"
"USS0020H06S","CEDAR PASS, CA US","2020-12-30","31","37","25","25"
"USS0020H06S","CEDAR PASS, CA US","2020-12-31","26","29","23","27"
