Date,"LowTemp(Â°F)",Precipitation
2020/04/01,39.2,0
2020/04/02,39.2,0
2020/04/03,44.6,0.2
2020/04/04,48.2,0
2020/04/05,44.6,0
2020/04/06,50,0
2020/04/07,53.6,0
2020/04/08,53.6,0.5
2020/04/09,48.2,0.2
2020/04/10,41,0
2020/04/11,37.4,0
2020/04/12,48.2,0
2020/04/13,57.2,2.1
2020/04/14,46.4,0
2020/04/15,42.8,0.1
2020/04/16,41,0
2020/04/17,39.2,0
2020/04/18,44.6,0.6
2020/04/19,42.8,0
2020/04/20,48.2,0
2020/04/21,46.4,0.3
2020/04/22,35.6,0
2020/04/23,39.2,0
2020/04/24,41,1.3
2020/04/25,41,0
2020/04/26,44.6,0.6
2020/04/27,44.6,0.2
2020/04/28,44.6,0
2020/04/29,48.2,0
2020/04/30,48.2,0.5
2020/05/01,55,0.4
2020/05/02,55,0
2020/05/03,55,0.4
2020/05/04,50,0
2020/05/05,46,0
2020/05/06,48,0.1
2020/05/07,46,0
2020/05/08,43,0.8
2020/05/09,36,0.4
2020/05/10,41,0
2020/05/11,46,0.2
2020/05/12,43,0
2020/05/13,45,0
2020/05/14,50,0
2020/05/15,59,0.2
2020/05/16,63,0
2020/05/17,57,0.1
2020/05/18,57,0
2020/05/19,57,0
2020/05/20,54,0
2020/05/21,55,0
2020/05/22,55,0.1
2020/05/23,57,0.4
2020/05/24,54,0
2020/05/25,56,0.1
2020/05/26,61,0
2020/05/27,63,0
2020/05/28,64,0
2020/05/29,66,0.4
2020/05/30,70,0
2020/05/31,59,0
2020/06/01,55.4,0
2020/06/02,60.8,0
2020/06/03,59,1.4
2020/06/04,68,0.1
2020/06/05,66.2,1
2020/06/06,66.2,0.5
2020/06/07,66.2,0
2020/06/08,64.4,0
2020/06/09,69.8,0
2020/06/10,75.2,0
2020/06/11,73.4,0.6
2020/06/12,73.4,0
2020/06/13,64.4,0
2020/06/14,59,0
2020/06/15,62.6,0
2020/06/16,62.6,0
2020/06/17,64.4,0
2020/06/18,66.2,0
2020/06/19,69.8,0.2
2020/06/20,71.6,0.4
2020/06/21,74,0.1
2020/06/22,75,0
2020/06/23,75,0.1
2020/06/24,77,0.2
2020/06/25,75,0
2020/06/26,75,0
2020/06/27,73,0.5
2020/06/28,75,0.1
2020/06/29,75,0.1
2020/06/30,70,0.1
2020/07/01,73.4,0.6
2020/07/02,73.4,0.2
2020/07/03,77,0.4
2020/07/04,73.4,0.4
2020/07/05,75.2,0
2020/07/06,77,0.5
2020/07/07,75.2,0.1
2020/07/08,77,0.1
2020/07/09,77,0
2020/07/10,71.6,2.5
2020/07/11,71.6,0.3
2020/07/12,75.2,0
2020/07/13,78.8,0.2
2020/07/14,73.4,0
2020/07/15,73.4,0
2020/07/16,69.8,0
2020/07/17,69.8,0.1
2020/07/18,78.8,0
2020/07/19,78.8,0
2020/07/20,80.6,0.1
2020/07/21,82.4,0
2020/07/22,80.6,0.1
2020/07/23,78.8,0.1
2020/07/24,77,0.2
2020/07/25,77,0
2020/07/26,77,0
2020/07/27,80.6,0
2020/07/28,80.6,0
2020/07/29,82.4,0
2020/07/30,80.6,0.1
2020/07/31,71.6,0.3
2020/08/01,73.4,0
2020/08/02,77,0.1
2020/08/03,77,0.1
2020/08/04,75.2,0.3
2020/08/05,73.4,0
2020/08/06,73.4,0
2020/08/07,69.8,0.5
2020/08/08,71.6,0.1
2020/08/09,75.2,0
2020/08/10,75.2,0
2020/08/11,77,0
2020/08/12,77,0.3
2020/08/13,73.4,0.4
2020/08/14,71.6,0
2020/08/15,71.6,0
2020/08/16,59,1
2020/08/17,60.8,0.3
2020/08/18,68,0.2
2020/08/19,73.4,0.1
2020/08/20,71.6,0
2020/08/21,69.8,0
2020/08/22,73.4,0
2020/08/23,77,0.1
2020/08/24,77,0
2020/08/25,77,0
2020/08/26,71.6,0
2020/08/27,75.2,0.2
2020/08/28,75.2,0.1
2020/08/29,68,0.4
2020/08/30,68,0
2020/08/31,67,0
2020/09/01,71.6,0
2020/09/02,71.6,0.1
2020/09/03,77,0.1
2020/09/04,75.2,0
2020/09/05,71.6,0
2020/09/06,69.8,0
2020/09/07,71.6,0
2020/09/08,75.2,0
2020/09/09,73.4,0.1
2020/09/10,77,1.2
2020/09/11,71.6,0.2
2020/09/12,66.2,0
2020/09/13,66.2,0
2020/09/14,64.4,0
2020/09/15,57.2,0
2020/09/16,64.4,0
2020/09/17,66.2,0
2020/09/18,60.8,0
2020/09/19,51.8,0
2020/09/20,53.6,0
2020/09/21,55.4,0
2020/09/22,57.2,0
2020/09/23,64.4,0
2020/09/24,68,0
2020/09/25,71.6,0
2020/09/26,68,0
2020/09/27,69.8,0
2020/09/28,71.6,0.1
2020/09/29,69.8,0.4
2020/09/30,63,1.2
2020/10/01,64.4,0
2020/10/02,59,0.3
2020/10/03,59,0
2020/10/04,59,0
2020/10/05,59,0
2020/10/06,62.6,0
2020/10/07,62.6,0
2020/10/08,55.4,0
2020/10/09,55.4,0
2020/10/10,62.6,0
2020/10/11,60.8,0
2020/10/12,46.4,1.6
2020/10/13,48.2,0.5
2020/10/14,55.4,0
2020/10/15,62.6,0
2020/10/16,46.4,1.7
2020/10/17,44.6,0.4
2020/10/18,53.6,0
2020/10/19,59,0
2020/10/20,60.8,0
2020/10/21,64.4,0
2020/10/22,66.2,0
2020/10/23,64.4,0
2020/10/24,53.6,0
2020/10/25,54,0
2020/10/26,44.6,0.1
2020/10/27,55.4,0
2020/10/28,55.4,0.3
2020/10/29,42.8,2
2020/10/30,35.6,1
2020/10/31,35.6,0
